[2.316968369637899, 12.2718594]
[6.835849295817964, 12.1088687]
[6.123098180775819, 11.2945226]
[6.330220161043854, 9.66886839]
[6.648882020356046, 9.66886839]
[180.5164892190605, 3.68916531]
[357.9175339019324, 1.4410347]
[358.79269808339814, 1.4410347]
[359.3206796436492, 1.4410347]
[5.79793107264581, 1.4410347]
[7.1850520470730235, 1.4410347]
[8.630508305313157, 1.4410347]
[9.980261738543541, 1.4410347]
[10.422219351533258, 1.28075772]
[15.17586522490091, 1.28075772]
[13.47380187461233, 1.12052124]
[18.865581910313583, 1.12052124]
[17.864116454086354, 6.75289755]
[8.872900986594754, 3.85004985]
[359.12176083200745, 1.60135219]
[51.219766633241655, 45.8552545]
[40.18346423053808, 41.9294678]
[65.67433164096981, 63.1729888]
[67.49388668246856, 63.1729888]
[4.237741690599031, 6.59128396]
[8.882906010964131, 6.59128396]
[0.25001151409356387, 4.81620762]
[1.246358738332704, 4.81620762]
[358.3502756249595, 1.76171018]
[3.440127137269479, 1.92210867]
[1.0727781231879228, 1.92210867]
[0.8901044485311208, 1.76171018]
[1.4696332118966664, 1.92210867]
[1.556535446493193, 1.92210867]
[2.4192619670455837, 1.76171018]
[8.504512918626045, 3.20675473]
[10.699416335578341, 6.10668619]
[15.52123285410805, 10.9690677]
[21.773457748551344, 18.66009]
[27.48889887652716, 26.1076769]
[32.75074521582063, 31.6213687]
[37.03444176118707, 35.490329]
[41.15346813183971, 38.7025875]
[42.62896524815059, 40.738916]
[46.15236284178231, 42.6106742]
[48.75104392249513, 45.5130312]
[52.84265929476115, 48.9425551]
[56.15493694609937, 52.733744]
[58.86867235237475, 54.809928]
[60.33639496399809, 56.8919444]
[62.073715766764906, 57.9351398]
[64.63454371345061, 61.0734748]
[69.3912275923158, 65.8055832]
[71.54596857641702, 66.5091475]
[71.49928967123078, 66.8611727]
[73.77250882297145, 68.4472909]
[73.52253397817074, 70.2134923]
[73.70832069147426, 70.2134923]
[75.151260127265, 70.2134923]
[71.97400282594529, 70.2134923]
[66.8503153644282, 70.2134923]
[59.380126752223376, 70.2134923]
[56.14007620017185, 70.2134923]
[46.467338384287615, 65.9814135]
[47.632048621590705, 65.9814135]
[39.478102598666766, 57.4133599]
[85.22223510756464, 56.5445367]
[51.809781074722366, 49.2863986]
[57.775741463638724, 38.7025875]
[46.20001833852163, 38.3637665]
[46.925729964711465, 38.3637665]
[42.29875695191328, 38.3637665]
[26.320004213877652, 34.8159272]
[33.50453406943083, 41.9294678]
[23.88657267785588, 15.2126183]
[19.115680370610775, 22.1254237]
[23.426405787282917, 24.113634]
[71.43027725869058, 64.575905]
[40.20885573558312, 48.2553542]
[9.636799663697783, 10.9690677]
[27.916857769225885, 19.4835493]
[41.396017106556954, 37.0101025]
[49.686926020839635, 47.225768]
[57.33668242186289, 52.560992]
[71.73880709980338, 63.3482116]
[57.44900885455904, 63.1729888]
[28.41603549577667, 31.453639]
[29.58584078366126, 29.2768397]
[26.984756827648788, 25.1099264]
[61.3281669641365, 52.9065366]
[46.801030290555516, 53.0793697]
[29.699389791793884, 32.628597]
[33.44619921053672, 32.1248005]
[58.546710219728624, 51.0080461]
[66.73233642481252, 63.6987786]
[7.346119416202461, 5.62245295]
[73.21744077037386, 61.2482116]
[7.6167712765646005, 8.20924258]
[1.7620938415065635, 1.76171018]
[7.182621449001099, 1.76171018]
[7.567624973402941, 1.76171018]
[3.094235689281912, 1.76171018]
[4.988087284892016, 1.76171018]
[5.18551853774018, 1.76171018]
[5.228854377991675, 1.76171018]
[4.496588761082036, 1.76171018]
[3.4604386241073475, 1.76171018]
[4.132522947601137, 1.92210867]
[3.4650722633941684, 1.76171018]
[0.2665184961189173, 1.76171018]
[3.722010405619033, 1.76171018]
[2.2085332237956754, 1.76171018]
[3.2892057267997563, 1.92210867]
[7.720268285758953, 1.76171018]
[18.235261635810744, 13.9039942]
[25.701507496731494, 23.7818606]
[37.82153868901384, 38.0251074]
[46.76498986943298, 45.5130312]
[50.0569928352281, 49.1144566]
[53.82407874347784, 52.0429788]
[57.66740683220307, 56.0237288]
[62.78422421262392, 60.2003988]
[65.39741582863627, 64.7514518]
[63.60072302956445, 64.7514518]
[62.621480823994965, 64.7514518]
[69.87989908204209, 64.7514518]
[67.44287992039071, 64.7514518]
[54.934666983757964, 64.575905]
[43.568674916979035, 62.8226648]
[30.825666924299547, 44.3165254]
[22.97567971836253, 27.4402791]
[14.66182224450445, 9.18196192]
[13.751076706739404, 3.36751775]
[14.8127429009724, 3.36751775]
[9.372530640577917, 3.36751775]
[33.79944720866052, 32.7966101]
[15.063250220281265, 18.9893522]
[10.528835327265915, 14.0674305]
[2.4787681971275477, 5.29983331]
[23.13429014320719, 14.7215805]
[38.78770692609304, 38.8720588]
[14.330504724225298, 17.180415]
[41.06735297066812, 38.8720588]
[11.110736571984674, 15.2126183]
[45.17155248687054, 41.9294678]
[7.453004747651834, 11.1317749]
[42.84238781941477, 39.889737]
[55.27830119988894, 51.3528617]
[62.69932094093252, 57.587246]
[68.1186053880983, 61.7726648]
[43.24208648409073, 58.6314135]
[15.411775224607798, 20.3080212]
[18.03792899374834, 20.1430458]
[26.06072746996864, 22.2908851]
[39.92533579920683, 37.1791687]
[51.562291510639, 49.8024675]
[59.270418906530615, 56.1972909]
[37.59390080213102, 48.7706941]
[3.1818141970916107, 8.04726445]
[33.395244047820356, 31.2859499]
[55.94182678569572, 53.7711069]
[60.920748413338394, 57.587246]
[47.471501820741416, 57.587246]
[25.71420715075297, 26.4405844]
[26.987594616369847, 26.9402495]
